Well Name,Depth,GR,AC,LLS,LLD,Facies
JY4,2513.125,174.025,75.694,18.73,16.519,2
JY4,2513.25,172.191,75.545,18.96,16.748,2
JY4,2513.375,169.709,75.623,19.187,16.963,2
JY4,2513.5,166.959,75.835,19.457,17.216,2
JY4,2513.625,164.977,75.945,19.791,17.526,2
JY4,2513.75,164.478,75.834,20.145,17.842,2
JY4,2513.875,165.115,75.373,20.393,18.044,2
JY4,2514,165.405,74.594,20.437,18.064,2
JY4,2514.125,164.404,73.851,20.323,17.971,2
JY4,2514.25,162.151,73.47,20.291,17.989,2
JY4,2514.375,159.813,73.51,20.589,18.315,2
JY4,2514.5,158.886,73.65,21.328,19.004,2
JY4,2514.625,159.402,73.501,22.413,19.934,2
JY4,2514.75,160.311,73.13,23.541,20.834,2
JY4,2514.875,160.737,72.778,24.301,21.384,2
JY4,2515,160.316,72.528,24.46,21.444,2
JY4,2515.125,159.51,72.633,24.158,21.167,2
JY4,2515.25,159.243,73.204,23.756,20.847,2
JY4,2515.375,160.555,73.777,23.524,20.677,2
JY4,2515.5,163.435,73.942,23.501,20.667,2
JY4,2515.625,166.23,73.911,23.592,20.74,2
JY4,2515.75,167.244,73.983,23.668,20.806,2
JY4,2515.875,166.123,74.106,23.648,20.81,2
JY4,2516,164.17,74.265,23.528,20.756,2
JY4,2516.125,163.048,74.599,23.333,20.678,2
JY4,2516.25,163.224,75.03,23.032,20.566,1
JY4,2516.375,163.635,75.41,22.566,20.376,2
JY4,2516.5,163.491,75.78,21.944,20.092,2
JY4,2516.625,163.76,76.184,21.24,19.742,2
JY4,2516.75,165.339,76.566,20.537,19.378,2
JY4,2516.875,167.47,76.918,19.91,19.057,2
JY4,2517,168.137,77.309,19.442,18.857,2
JY4,2517.125,166.829,77.724,19.175,18.824,2
JY4,2517.25,165.277,78.037,19.085,18.935,2
JY4,2517.375,165.265,78.138,19.113,19.123,2
JY4,2517.5,166.505,77.969,19.201,19.324,2
JY4,2517.625,167.898,77.611,19.273,19.457,2
JY4,2517.75,169.133,77.286,19.121,19.319,2
JY4,2517.875,170.88,77.172,18.551,18.756,2
JY4,2518,173.577,77.305,17.597,17.854,2
JY4,2518.125,176.757,77.576,16.607,16.988,2
JY4,2518.25,179.563,77.81,15.945,16.502,2
JY4,2518.375,180.812,77.994,15.806,16.544,2
JY4,2518.5,179.47,78.199,16.105,16.988,2
JY4,2518.625,176.259,78.391,16.607,17.58,2
JY4,2518.75,173.833,78.495,17.052,18.068,2
JY4,2518.875,173.68,78.358,17.345,18.389,2
JY4,2519,174.486,77.816,17.59,18.671,2
JY4,2519.125,173.623,76.977,17.966,19.08,2
JY4,2519.25,170.757,76.201,18.475,19.591,2
JY4,2519.375,167.566,75.77,18.948,20.026,2
JY4,2519.5,165.181,75.739,19.202,20.228,2
JY4,2519.625,163.786,76.002,19.234,20.225,2
JY4,2519.75,163.928,76.33,19.179,20.156,2
JY4,2519.875,166.223,76.523,19.131,20.1,2
JY4,2520,169.888,76.629,19.064,20.016,2
JY4,2520.125,172.938,76.828,18.906,19.821,2
JY4,2520.25,174.363,77.159,18.675,19.505,2
JY4,2520.375,174.576,77.568,18.39,19.025,2
JY4,2520.5,173.756,77.907,17.658,17.971,2
JY4,2520.625,171.722,77.899,15.94,15.952,2
JY4,2520.75,169.485,77.478,13.232,13.165,2
JY4,2520.875,169.277,76.927,10.463,10.593,2
JY4,2521,171.217,76.554,8.702,9.168,2
JY4,2521.125,172.916,76.461,8.618,9.412,2
JY4,2521.25,172.666,76.586,10.444,11.441,2
JY4,2521.375,171.684,76.785,13.625,14.588,2
JY4,2521.5,172.17,76.943,16.504,17.171,2
JY4,2521.625,173.641,77.069,17.277,17.602,2
JY4,2521.75,173.163,77.26,15.784,15.965,2
JY4,2521.875,168.31,77.533,13.558,13.849,2
JY4,2522,161.315,77.526,12.132,12.651,2
JY4,2522.125,157.044,76.857,12.033,12.769,2
JY4,2522.25,158.896,75.904,13.174,14.037,2
JY4,2522.375,165.204,75.341,14.97,15.829,2
JY4,2522.5,172.255,75.273,16.57,17.313,2
JY4,2522.625,177.333,75.755,17.315,17.917,2
JY4,2522.75,179.525,76.838,17.232,17.733,2
JY4,2522.875,178.966,77.825,16.66,17.105,2
JY4,2523,176.811,78.015,15.844,16.27,2
JY4,2523.125,174.71,77.699,14.999,15.45,2
JY4,2523.25,174.232,77.518,14.445,14.972,2
JY4,2523.375,175.675,77.645,14.432,15.061,2
JY4,2523.5,177.546,77.957,15.006,15.713,2
JY4,2523.625,177.875,78.362,15.992,16.698,2
JY4,2523.75,177.045,78.718,16.959,17.592,2
JY4,2523.875,176.762,78.896,17.531,18.076,2
JY4,2524,177.43,78.969,17.669,18.165,2
JY4,2524.125,177.546,79.068,17.627,18.12,2
JY4,2524.25,176.06,79.168,17.629,18.132,2
JY4,2524.375,173.723,79.147,17.708,18.208,2
JY4,2524.5,171.476,78.907,17.782,18.261,2
JY4,2524.625,170.064,78.504,17.737,18.194,2
JY4,2524.75,169.94,78.115,17.545,18.01,2
JY4,2524.875,170.776,77.828,17.291,17.805,2
JY4,2525,171.442,77.584,17.11,17.694,2
JY4,2525.125,171.335,77.339,17.088,17.721,2
JY4,2525.25,171.082,77.109,17.228,17.865,2
JY4,2525.375,171.532,76.933,17.458,18.053,2
JY4,2525.5,172.235,76.939,17.616,18.141,2
JY4,2525.625,172.127,77.231,17.482,17.928,2
