Well Name,Depth,Facies,GR,AC,DEN,CNL
JY51-2,3071.875,4,210.757,101.213,270.178,2.666
JY51-2,3072,4,210.919,101.341,270.681,2.663
JY51-2,3072.75,4,217.588,101.354,271.951,2.638
JY51-2,3072.875,4,219.99,101.315,273.069,2.643
JY51-2,3073,4,222.261,101.272,272.893,2.653
JY51-2,3073.75,4,216.372,100.076,264.722,2.687
JY51-2,3073.875,4,216.792,99.797,264.241,2.684
JY51-2,3074,4,216.262,99.578,263.74,2.683
JY51-2,3074.5,4,207.473,99.147,265.941,2.668
JY51-2,3074.625,4,207.258,98.987,265.13,2.667
JY51-2,3074.75,4,206.158,98.757,262.285,2.671
JY51-2,3075.75,4,222.267,95.182,264.399,2.666
JY51-2,3075.875,4,222.459,95.045,264.341,2.669
JY51-2,3076,4,223.23,94.948,264.183,2.667
JY51-2,3076.75,4,187.233,94.849,239.591,2.682
JY51-2,3076.875,4,183.019,94.883,240.37,2.688
JY51-2,3077,4,186.233,94.936,245.054,2.677
JY51-2,3077.75,4,222.666,94.686,263.552,2.649
JY51-2,3077.875,4,222.648,94.437,264.627,2.649
JY51-2,3078,4,219.95,94.265,265.859,2.647
JY51-2,3078.75,4,206.502,93.212,266.413,2.645
JY51-2,3078.875,4,207.183,93.034,266.307,2.649
JY51-2,3079,4,209.669,92.941,266.058,2.655
JY51-2,3079.75,4,200.463,91.875,261.617,2.664
JY51-2,3079.875,4,197.487,91.664,259.486,2.668
JY51-2,3080,4,197.418,91.514,258.809,2.669
JY51-2,3080.75,4,206.696,89.437,279.331,2.658
JY51-2,3080.875,4,210.274,89.177,275.028,2.652
JY51-2,3081,4,212.296,89.116,268.462,2.644
JY51-2,3081.75,4,204.642,89.681,264.619,2.669
JY51-2,3081.875,4,200.055,89.548,263.733,2.682
JY51-2,3082,4,193.909,89.398,259.144,2.685
JY51-2,3082.75,4,176.19,87.801,237.718,2.649
JY51-2,3082.875,4,175.625,87.568,238.136,2.647
JY51-2,3083,4,176.26,87.406,238.105,2.645
JY51-2,3083.75,4,173.385,85.406,237.481,2.646
JY51-2,3083.875,4,173.186,84.851,238.524,2.645
JY51-2,3084,4,174.259,84.322,239.576,2.641
JY51-2,3084.75,4,183.019,82.528,239.69,2.632
JY51-2,3084.875,4,184.422,82.42,240.398,2.634
JY51-2,3085,4,186.361,82.304,240.877,2.638
JY51-2,3085.625,5,171.218,81.6,233.919,2.67
JY51-2,3085.75,5,170.72,81.544,233.292,2.66
JY51-2,3085.875,5,175.23,81.565,233.541,2.647
JY51-2,3086.75,4,183.576,83.242,241.113,2.618
JY51-2,3086.875,4,182.357,83.777,242.114,2.613
JY51-2,3087,4,182.943,84.264,243.098,2.61
JY51-2,3087.75,4,183.292,84.131,242.928,2.624
JY51-2,3087.875,4,178.57,82.913,241.339,2.617
JY51-2,3088,4,176.388,82.061,240.493,2.615
JY51-2,3088.625,4,168.557,81.252,238.547,2.648
JY51-2,3088.75,4,166.05,81.988,237.538,2.65
JY51-2,3088.875,4,165.266,82.631,236.706,2.65
JY51-2,3089.75,4,183.617,83.744,245.566,2.622
