 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
2,JY41-5,2577.49,172.173,239.874,2.622,14.198,59.07,56.92,4.299
2,JY41-5,2578.5,175.189,242.531,2.617,14.668,53.262,51.606,3.959
2,JY41-5,2579.49,182.054,245.784,2.632,14.52,46.198,44.045,3.791
2,JY41-5,2580.24,170.007,248.977,2.646,12.505,45.211,42.651,3.413
3,JY41-5,2581.15,185.84,258.119,2.631,16.286,31.475,28.766,4.093
3,JY41-5,2582.19,183.574,260.598,2.616,17.293,49.902,47.579,3.491
2,JY41-5,2583.09,176.783,260.133,2.602,15.593,13.05,12.426,3.958
2,JY41-5,2584.07,169.614,258.43,2.639,14.918,55.325,52.101,3.71
2,JY41-5,2585.01,181.611,259.835,2.605,14.416,46.683,44.31,3.738
2,JY41-5,2585.95,175.689,257.554,2.585,14.687,63.545,61.178,3.238
3,JY41-5,2587.02,175.887,254.226,2.612,13.704,61.816,61.551,3.115
2,JY41-5,2587.65,177.89,255.735,2.579,14.128,58.425,57.719,3.547
2,JY41-5,2588.4,182.077,256.884,2.574,13.879,54.337,54.405,3.098
4,JY41-5,2589.39,187.911,260.764,2.595,14.151,56.024,55.07,4.015
2,JY41-5,2590.17,203.248,265.595,2.584,14.715,28.566,26.018,4.098
2,JY41-5,2590.85,206.396,263.224,2.602,14.308,35.667,34.534,3.249
3,JY41-5,2591.65,221.792,263.805,2.61,17.291,31.016,28.985,4.17
3,JY41-5,2592.27,198.637,250.072,2.648,14.104,27.765,26.627,3.602
2,JY41-5,2593.04,196.612,244.407,2.625,13.017,21.835,19.99,3.342
4,JY41-5,2594.12,205.576,240.681,2.614,11.914,59.195,56.968,2.975
4,JY41-5,2594.94,198.877,236.745,2.609,12.298,39.524,38.046,3.116
5,JY41-5,2596.02,186.891,241.517,2.606,11.848,46.502,44.768,3.353
2,JY41-5,2597.03,178.033,239.958,2.586,11.279,65.71,64.784,3.076
2,JY41-5,2597.62,177.352,242.261,2.591,12.671,40.362,39.382,3.329
2,JY41-5,2598.12,186.635,243.763,2.594,10.958,33.346,31.058,3.227
2,JY41-5,2599.18,190.65,242.753,2.623,12.21,21.496,20.208,3.147
