Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3028.829,202.807,2.749,231.62,19.538,2
JY37-4HF,3028.954,201.012,2.746,231.793,19.883,2
JY37-4HF,3029.079,198.093,2.743,231.712,20.249,2
JY37-4HF,3029.204,195.739,2.742,231.356,20.535,2
JY37-4HF,3029.329,195.4,2.742,230.862,20.67,2
JY37-4HF,3029.454,196.227,2.742,230.488,20.645,2
JY37-4HF,3029.579,196.755,2.742,230.52,20.525,2
JY37-4HF,3029.704,197.101,2.74,231.131,20.411,2
JY37-4HF,3029.829,198.344,2.736,232.306,20.392,2
JY37-4HF,3029.954,200.596,2.731,233.821,20.494,2
JY37-4HF,3030.079,202.642,2.727,235.298,20.682,2
JY37-4HF,3030.204,203.518,2.723,236.38,20.88,2
JY37-4HF,3030.329,203.36,2.72,236.878,21.019,2
JY37-4HF,3030.454,202.813,2.717,236.878,21.047,2
JY37-4HF,3030.579,202.314,2.715,236.651,20.939,2
JY37-4HF,3030.704,202.094,2.713,236.53,20.716,2
JY37-4HF,3030.829,202.653,2.712,236.741,20.443,2
JY37-4HF,3030.954,204.643,2.714,237.325,20.204,2
JY37-4HF,3031.079,207.813,2.717,238.123,20.05,2
JY37-4HF,3031.204,210.642,2.72,238.901,19.987,2
JY37-4HF,3031.329,211.584,2.723,239.502,20,2
JY37-4HF,3031.454,210.824,2.724,239.934,20.075,2
JY37-4HF,3031.579,210.026,2.722,240.326,20.201,2
JY37-4HF,3031.704,210.193,2.719,240.826,20.366,2
JY37-4HF,3031.829,210.747,2.717,241.5,20.562,2
JY37-4HF,3031.954,210.335,2.717,242.271,20.755,2
JY37-4HF,3032.079,208.108,2.72,242.932,20.904,2
JY37-4HF,3032.204,204.427,2.724,243.257,21.014,2
JY37-4HF,3032.329,201.214,2.729,243.136,21.141,2
JY37-4HF,3032.454,200.381,2.732,242.648,21.357,2
JY37-4HF,3032.579,201.542,2.732,241.996,21.688,2
JY37-4HF,3032.704,202.577,2.729,241.416,22.1,2
JY37-4HF,3032.829,202.488,2.722,241.064,22.513,2
JY37-4HF,3032.954,202.32,2.712,240.962,22.826,2
JY37-4HF,3033.079,202.512,2.703,240.995,22.976,2
