GR,SP,AC,DEN,CNL,K,Core Lithology
247.18,1.697,246.25,2.494,10.932,2.913,1
245.463,-1.361,246.578,2.498,11.065,2.876,1
243.258,-3.923,247.253,2.508,11.133,2.892,1
241.201,-5.65,248.264,2.516,11.237,3.003,1
238.869,-6.552,249.488,2.516,11.399,3.19,1
235.204,-6.843,250.658,2.511,11.474,3.369,1
231.187,-6.64,251.598,2.503,11.354,3.468,1
231.26,-6.1,252.164,2.494,11.267,3.457,1
236.597,-5.44,252.315,2.485,11.371,3.357,1
242.518,-4.839,252.026,2.479,11.466,3.251,1
245.63,-4.438,251.449,2.478,11.32,3.206,1
246.476,-4.425,250.733,2.48,10.934,3.218,1
247.159,-4.931,249.9,2.484,10.502,3.239,1
247.234,-5.818,248.986,2.489,10.171,3.225,1
244.839,-6.698,248.059,2.492,9.988,3.17,1
240.104,-7.206,247.168,2.491,9.919,3.071,1
235.295,-7.215,246.424,2.485,9.894,2.936,1
232.853,-6.78,246.094,2.478,9.808,2.811,1
233.047,-6.135,246.652,2.473,9.741,2.773,1
235.476,-5.608,248.258,2.472,9.72,2.825,1
241.572,-5.435,250.968,2.476,9.76,2.971,1
253.315,-5.551,254.537,2.486,10.003,3.324,1
273.398,-5.622,258.518,2.499,10.627,3.85,1
303.741,-5.357,262.432,2.504,11.642,4.255,1
342.241,-4.713,265.573,2.489,12.722,4.348,1
383.445,-3.846,267.251,2.459,13.419,4.299,1
418.372,-3.006,266.23,2.432,13.646,4.271,1
439.984,-2.479,261.819,2.421,13.551,4.235,1
435.24,-2.482,254.145,2.431,13.059,4.027,3
395.534,-2.987,244.298,2.466,11.85,3.589,3
326.75,-3.686,234.854,2.518,9.94,3.096,3
256.282,-4.287,228.106,2.576,8.13,2.708,3
213.388,-4.619,226.21,2.613,7.306,2.431,3
203.697,-4.606,228.734,2.61,7.849,2.231,3
210.302,-4.255,234.457,2.569,9.559,2.081,3
214.836,-3.772,241.067,2.518,11.485,1.935,3
213.092,-3.507,246.825,2.481,12.634,1.734,3
