Well Name,Depth,Facies,GR,AC,DEN,K
JY11-4,2355.875,2,120.891,258.705,2.56,2.12
JY11-4,2356.75,2,123.442,260.115,2.56,2.206
JY11-4,2356.875,2,130.404,263.127,2.555,2.28
JY11-4,2357,2,177.772,282.766,2.543,4.249
JY41-5,2494.5,2,165.888,238.551,2.742,4.437
JY41-5,2494.625,2,164.232,238.706,2.745,4.403
JY41-5,2496.625,2,164.439,238.303,2.723,5.107
JY41-5,2496.75,2,165.382,240.761,2.731,5.155
JY41-5,2496.875,2,165.65,242.55,2.738,5.209
JY41-5,2502.25,1,170.613,233.924,2.718,5.342
JY41-5,2502.375,1,166.583,232.456,2.712,5.192
JY41-5,2502.5,1,160.729,231.785,2.707,5.101
JY41-5,2502.625,1,158.16,232.531,2.704,4.974
JY41-5,2503.375,1,171.199,242.725,2.726,4.958
JY41-5,2503.5,1,174.744,243.383,2.734,5.089
JY41-5,2503.625,1,176.548,244.149,2.736,5.222
JY41-5,2508,1,89.398,198.598,2.66,1.418
JY41-5,2508.125,1,90.29,198.407,2.665,1.55
JY41-5,2508.25,1,90.675,198.382,2.666,1.643
JY41-5,2508.375,1,90.239,198.727,2.664,1.698
JY41-5,2508.5,1,90.293,199.637,2.662,1.75
JY41-5,2508.625,1,92.36,200.983,2.661,1.792
JY41-5,2508.75,1,95.2,202.542,2.661,1.754
JY41-5,2508.875,1,95.399,203.84,2.658,1.635
JY41-5,2509,1,92.413,204.339,2.655,1.491
JY41-5,2509.125,1,88.891,203.738,2.649,1.394
JY41-5,2509.25,1,86.698,202.094,2.643,1.322
JY41-5,2509.375,1,85.319,199.835,2.638,1.245
JY41-5,2509.5,1,84.053,197.367,2.633,1.19
JY41-5,2509.625,1,83.363,195.333,2.626,1.147
JY41-5,2509.75,1,84.698,194.182,2.616,1.101
JY41-5,2509.875,1,88.621,194.229,2.606,1.125
JY41-5,2510,1,94.56,195.297,2.599,1.314
JY41-5,2510.125,1,101.495,197.098,2.594,1.535
JY41-5,2510.25,1,107.449,199.423,2.587,1.637
JY41-5,2510.375,1,111.332,201.981,2.576,1.661
JY41-5,2510.5,1,111.996,204.724,2.568,1.632
JY41-5,2510.625,1,108.866,207.803,2.569,1.441
JY41-5,2510.75,1,102.677,211.188,2.577,1.197
JY41-5,2510.875,1,95.448,214.656,2.583,1.11
JY41-5,2511,1,89.072,217.661,2.579,1.124
JY41-5,2511.125,1,84.427,219.639,2.567,1.148
JY41-5,2511.25,1,83.135,219.946,2.553,1.281
JY41-5,2511.375,1,86.135,218.708,2.542,1.515
JY41-5,2511.5,1,93.129,217.077,2.538,1.756
JY41-5,2511.625,1,102.801,216.58,2.545,2.151
JY41-5,2511.75,1,116.386,218.187,2.563,2.864
JY41-5,2511.875,1,136.575,222.339,2.591,3.767
JY41-5,2512,1,160.315,229.064,2.624,4.492
JY41-5,2512.125,1,180.526,236.33,2.66,4.919
JY41-5,2512.25,1,188.658,242.226,2.693,5.011
JY41-5,2512.375,1,187.331,245.357,2.719,4.976
JY41-5,2512.5,1,182.253,246.017,2.737,4.9
JY41-5,2512.625,1,177.715,244.469,2.749,4.734
JY41-5,2512.75,1,173.028,241.397,2.756,4.518
JY41-5,2512.875,1,167.059,237.604,2.757,4.377
JY41-5,2514.125,1,149.036,219.814,2.697,2.973
JY41-5,2514.25,1,149.769,222.147,2.701,3.067
JY41-5,2514.375,1,149.604,223.473,2.704,3.212
JY41-5,2514.5,1,149.746,224.726,2.703,3.586
JY41-5,2514.625,1,151.69,226.732,2.699,4.221
JY41-5,2514.75,1,156.551,230.062,2.696,4.883
JY41-5,2516,1,179.744,241.529,2.721,4.729
JY41-5,2516.125,1,176.27,238.953,2.718,4.531
JY41-5,2516.25,1,171.798,236.415,2.714,4.442
JY41-5,2516.375,1,168.34,234.147,2.711,4.541
JY41-5,2517.375,1,67.229,194.375,2.721,1.274
JY41-5,2517.5,1,57.202,187.77,2.721,0.999
JY41-5,2517.625,1,54.608,183.86,2.72,0.956
JY41-5,2518,1,59.953,186.926,2.683,0.85
JY41-5,2518.125,1,60.121,189.957,2.667,0.874
JY41-5,2518.25,1,60.273,192.652,2.651,0.905
JY41-5,2518.375,1,61.048,194.865,2.634,0.939
JY41-5,2518.5,1,62.489,196.416,2.621,1.007
JY41-5,2518.625,1,64.5,197.491,2.614,1.117
JY41-5,2518.75,1,68.112,199.014,2.608,1.218
JY41-5,2518.875,1,77.557,201.797,2.604,1.469
JY41-5,2519,1,95.925,206.39,2.609,2.143
JY41-5,2519.125,1,122.782,212.937,2.628,3.214
JY41-5,2519.25,1,150.702,221.363,2.661,4.118
JY41-5,2519.375,1,172.899,230.303,2.693,4.599
JY41-5,2519.5,1,186.824,238.368,2.714,4.674
JY41-5,2519.625,1,194.064,244.451,2.721,4.596
JY41-5,2519.75,1,196.473,248.338,2.723,4.482
JY41-5,2519.875,1,195.612,250.147,2.727,4.352
JY41-5,2520,1,193.074,250.169,2.729,4.23
JY41-5,2520.125,2,188.447,249.275,2.725,4.147
JY41-5,2520.25,2,181.884,247.823,2.716,4.163
JY41-5,2521,2,174.907,238.665,2.703,4.922
JY41-5,2521.125,2,176.183,238.368,2.7,5.1
JY41-5,2521.25,2,177.935,238.672,2.702,5.232
JY41-5,2522.125,2,181.222,242.698,2.709,5.546
JY41-5,2522.25,2,184.508,243.803,2.704,5.512
JY41-5,2522.375,2,187.919,245.654,2.699,5.453
JY41-5,2523.25,2,189.081,253.41,2.716,4.784
JY41-5,2523.375,2,191.613,253.397,2.718,4.467
JY41-5,2523.5,2,194.113,253.462,2.716,4.195
JY41-5,2524.25,2,186.462,254.463,2.701,5.18
JY41-5,2524.375,2,183.164,254.525,2.709,5.221
JY41-5,2524.5,2,182.628,254.347,2.72,5.185
JY41-5,2525.125,2,174.938,251.576,2.703,4.962
JY41-5,2525.25,2,175.701,251.445,2.705,5.008
JY41-5,2525.375,2,176.596,251.55,2.71,5.056
JY41-5,2526.125,2,178.725,254.019,2.728,4.975
JY41-5,2526.25,2,180.339,254.521,2.731,5.089
JY41-5,2526.375,2,183.28,255.012,2.735,5.243
JY41-5,2527.125,2,181.617,255.457,2.72,5.445
JY41-5,2527.25,2,179.41,254.761,2.716,5.244
JY41-5,2527.375,2,177.695,253.873,2.715,5.05
JY41-5,2528,2,178.108,250.025,2.723,5.176
