Well Name,Depth,Facies,GR,AC,DEN
JY51-2,3090,4,184.048,83.586,245.346
JY51-2,3091.125,5,202.465,85.976,240.095
JY51-2,3091.25,5,218.361,86.227,240.292
JY51-2,3091.375,5,230.36,86.293,240.653
JY51-2,3091.75,4,230.973,85.625,239.344
JY51-2,3091.875,4,224.817,85.462,238.394
JY51-2,3092,4,215.501,85.426,237.502
JY51-2,3092.75,5,180.91,84.711,232.359
JY51-2,3092.875,5,182.833,84.622,232.57
JY51-2,3093,5,187.042,84.543,233.165
JY51-2,3093.75,5,190.698,84.338,237.722
JY51-2,3093.875,5,188.154,84.231,239.305
JY51-2,3094,5,186.204,84.058,240.33
JY51-2,3094.75,4,194.543,82.812,245.858
JY51-2,3094.875,4,194.153,82.702,246.051
JY51-2,3095,4,192.255,82.653,245.731
JY51-2,3095.75,4,187.398,81.786,241.298
JY51-2,3095.875,4,187.586,81.588,238.998
JY51-2,3096,4,188.935,81.429,236.696
JY51-2,3097.75,4,182.415,80.379,225.109
JY51-2,3097.875,4,187.478,80.234,226.643
JY51-2,3098,4,190.779,80.15,230.041
JY51-2,3098.75,4,179.885,81.244,236.418
JY51-2,3098.875,4,177.437,81.558,235.154
JY51-2,3099,4,177.88,81.85,234.234
JY51-2,3099.75,4,180.313,82.744,234.413
JY51-2,3099.875,4,181.074,83.015,235.256
JY51-2,3100,4,182.266,83.337,237
JY51-2,3100.75,4,177.452,83.828,242.727
JY51-2,3100.875,4,179.555,83.782,242.597
JY51-2,3101,4,182.562,83.804,242.734
JY51-2,3101.75,4,193.25,84.322,244.073
JY51-2,3101.875,4,194.613,84.565,243.82
JY51-2,3102,4,195.716,84.759,243.292
JY51-2,3103.75,4,197.258,85.372,247.915
JY51-2,3103.875,4,199.402,85.464,249.876
JY51-2,3104,4,197.59,85.54,250.902
JY51-2,3104.625,4,191.839,86.394,247.279
JY51-2,3104.75,4,190.085,86.502,248.9
JY51-2,3104.875,4,190.832,86.585,251.367
JY51-2,3105.75,4,173.356,87.839,245.236
JY51-2,3105.875,4,171.859,87.918,247.503
JY51-2,3106,4,175.51,88.022,249.679
JY51-2,3106.75,4,186.727,87.7,260.408
JY51-2,3106.875,4,188.457,87.796,259.774
JY51-2,3107,4,190.33,88.001,259.282
JY51-2,3107.625,4,191.686,89.99,258.479
JY51-2,3107.75,4,189.283,90.387,258.381
JY51-2,3107.875,4,188.522,90.733,258.264
JY51-2,3108.75,4,188.018,90.599,260.561
JY51-2,3108.875,4,189.291,90.112,261.824
JY51-2,3109,4,187.283,89.679,262.484
JY51-2,3109.75,4,178.96,88.9,256.354
JY51-2,3109.875,4,180.471,89.038,255.716
JY51-2,3110,4,179.885,89.251,255.325
JY51-2,3110.75,4,191.847,90.7,258.683
JY51-2,3110.875,4,191.334,90.663,258.805
JY51-2,3111,4,189.526,90.479,257.747
JY51-2,3111.75,4,170.925,87.538,253.283
JY51-2,3111.875,4,179.531,87.141,255.058
JY51-2,3112,4,185.418,86.788,256.05
JY51-2,3112.75,4,183.183,84.56,252.286
JY51-2,3112.875,4,181.664,84.454,251.849
JY51-2,3113,4,180.4,84.462,252.493
JY51-2,3114.75,4,207.024,86.456,253.426
JY51-2,3114.875,4,210.453,86.92,254.503
JY51-2,3115,4,213.125,87.299,255.602
JY51-2,3115.75,4,238.033,89.027,264.561
JY51-2,3115.875,4,241.981,89.286,266.56
JY51-2,3116,4,244.594,89.464,267.363
JY51-2,3116.625,5,223.049,89.409,249.022
JY51-2,3116.75,5,216.3,89.218,247.431
JY51-2,3116.875,5,212.292,88.934,246.204
JY51-2,3117.75,5,210.991,86.973,246.045
