Well Name,Depth,Facies,GR,AC,LLS,LLD
JY11-4,2351.25,2,217.274,253.937,69.349,74.48
JY11-4,2351.375,2,337.253,264.497,25.895,28.792
JY11-4,2352.25,2,356.106,258.039,35.627,39.363
JY11-4,2352.375,2,343.032,246.535,43.925,48.038
JY11-4,2352.5,2,195.852,257.657,11.656,12.511
JY11-4,2353.25,2,190.887,255.75,13.055,14.354
JY11-4,2353.375,2,183.363,250.557,18.899,20.739
JY11-4,2353.5,2,180.706,244.078,28.232,30.898
JY11-4,2354.375,2,177.142,245.377,33.329,36.746
JY11-4,2354.5,2,181.327,246.697,40.489,44.516
JY11-4,2354.625,2,181.015,252.122,49.113,53.399
JY11-4,2355.625,2,174.749,249.314,50.362,54.643
JY11-4,2355.75,2,166.82,247.208,51.773,56.024
JY11-4,2355.875,2,120.891,258.705,15.749,15.442
JY11-4,2356.75,2,123.442,260.115,11.961,11.629
JY11-4,2356.875,2,130.404,263.127,8.598,8.435
JY11-4,2357,2,177.772,282.766,21.49,22.612
JY41-5,2494.5,2,165.888,238.551,36.016,35.941
JY41-5,2494.625,2,164.232,238.706,35.66,35.624
JY41-5,2496.625,2,164.439,238.303,37.91,35.192
JY41-5,2496.75,2,165.382,240.761,36.687,34.052
JY41-5,2496.875,2,165.65,242.55,35.682,33.146
JY41-5,2502.25,1,170.613,233.924,40.182,37.677
JY41-5,2502.375,1,166.583,232.456,41.119,38.387
JY41-5,2502.5,1,160.729,231.785,41.041,38.044
JY41-5,2502.625,1,158.16,232.531,39.762,36.614
JY41-5,2503.375,1,171.199,242.725,31.972,29.535
JY41-5,2503.5,1,174.744,243.383,30.969,28.622
JY41-5,2503.625,1,176.548,244.149,30.018,27.765
JY41-5,2508,1,89.398,198.598,431.399,390.261
JY41-5,2508.125,1,90.29,198.407,385.632,349.227
JY41-5,2508.25,1,90.675,198.382,341.263,309.408
JY41-5,2508.375,1,90.239,198.727,296.333,269.286
JY41-5,2508.5,1,90.293,199.637,257.244,235.017
JY41-5,2508.625,1,92.36,200.983,233.623,215.096
JY41-5,2508.75,1,95.2,202.542,230.548,213.995
JY41-5,2508.875,1,95.399,203.84,248.694,232.745
JY41-5,2509,1,92.413,204.339,289.88,273.208
JY41-5,2509.125,1,88.891,203.738,355.544,336.208
JY41-5,2509.25,1,86.698,202.094,433.505,410.099
JY41-5,2509.375,1,85.319,199.835,519.287,490.864
JY41-5,2509.5,1,84.053,197.367,618.275,582.481
JY41-5,2509.625,1,83.363,195.333,712.277,666.562
JY41-5,2509.75,1,84.698,194.182,761.528,706.309
JY41-5,2509.875,1,88.621,194.229,727.02,668.221
JY41-5,2510,1,94.56,195.297,641.64,585.341
JY41-5,2510.125,1,101.495,197.098,547.663,497.231
JY41-5,2510.25,1,107.449,199.423,478.468,434.158
JY41-5,2510.375,1,111.332,201.981,445.745,406.16
JY41-5,2510.5,1,111.996,204.724,463.516,425.32
JY41-5,2510.625,1,108.866,207.803,541.667,500.164
JY41-5,2510.75,1,102.677,211.188,694.131,643.231
JY41-5,2510.875,1,95.448,214.656,939.022,868.126
JY41-5,2511,1,89.072,217.661,1210.787,1109.881
JY41-5,2511.125,1,84.427,219.639,1406.589,1274.164
JY41-5,2511.25,1,83.135,219.946,1413.531,1262.83
JY41-5,2511.375,1,86.135,218.708,1234.17,1086.19
JY41-5,2511.5,1,93.129,217.077,909.025,786.498
JY41-5,2511.625,1,102.801,216.58,541.507,459.592
JY41-5,2511.75,1,116.386,218.187,251.589,208.525
JY41-5,2511.875,1,136.575,222.339,99.961,81.616
JY41-5,2512,1,160.315,229.064,51.231,42.334
JY41-5,2512.125,1,180.526,236.33,36.883,30.975
JY41-5,2512.25,1,188.658,242.226,31.874,27.178
JY41-5,2512.375,1,187.331,245.357,30.915,26.672
JY41-5,2512.5,1,182.253,246.017,32.286,27.985
JY41-5,2512.625,1,177.715,244.469,34.92,30.307
JY41-5,2512.75,1,173.028,241.397,38.647,33.624
JY41-5,2512.875,1,167.059,237.604,44.293,38.644
JY41-5,2514.125,1,149.036,219.814,64.661,53.275
JY41-5,2514.25,1,149.769,222.147,62.558,51.418
JY41-5,2514.375,1,149.604,223.473,60.834,49.625
JY41-5,2514.5,1,149.746,224.726,57.022,46.083
JY41-5,2514.625,1,151.69,226.732,50.716,40.666
JY41-5,2514.75,1,156.551,230.062,43.779,34.994
JY41-5,2516,1,179.744,241.529,41.156,33.093
JY41-5,2516.125,1,176.27,238.953,44.236,35.401
JY41-5,2516.25,1,171.798,236.415,46.949,37.357
