Well Name,Depth,GR,AC,DEN,CNL,LLS
JY2,2486.75,162.112,78.557,2.733,21.289,16.494
JY2,2486.875,160.978,78.369,2.734,21.009,16.415
JY2,2487,161.726,78.836,2.731,20.849,16.045
JY2,2487.125,164.369,80.097,2.724,20.76,15.533
JY2,2487.25,166.7,81.452,2.715,20.942,15.061
JY2,2487.375,167.555,82.11,2.71,21.446,14.866
JY2,2487.5,167.431,82.199,2.712,21.81,15.122
JY2,2487.625,166.344,82.243,2.719,21.503,15.886
JY2,2487.75,162.676,82.102,2.731,21.005,16.937
JY2,2487.875,156.495,81.492,2.748,21.113,17.924
JY2,2488,151.396,80.85,2.762,21.674,18.467
JY2,2488.125,150.139,80.784,2.762,22.037,18.463
JY2,2488.25,152.508,81.19,2.746,21.989,18.005
JY2,2488.375,156.343,81.672,2.721,22.091,17.329
JY2,2488.5,160.187,82.426,2.702,22.771,16.694
JY2,2488.625,162.963,83.26,2.695,23.613,16.319
JY2,2488.75,164.007,83.532,2.697,23.936,16.261
JY2,2488.875,163.789,83.309,2.702,23.647,16.401
JY2,2489,163.866,83.071,2.703,23.144,16.592
JY2,2489.125,165.259,82.96,2.7,22.747,16.726
JY2,2489.25,167.71,83.162,2.695,22.545,16.619
JY2,2489.375,169.753,83.475,2.693,22.485,15.984
JY2,2489.5,170.635,83.555,2.694,22.367,14.818
JY2,2489.625,170.735,83.657,2.699,22.009,13.504
JY2,2489.75,170.315,84.131,2.706,21.62,12.626
JY2,2489.875,168.983,84.741,2.713,21.5,12.519
JY2,2490,167.151,85.262,2.713,21.678,13.257
JY2,2490.125,165.896,85.712,2.709,21.9,14.503
JY2,2490.25,165.229,85.972,2.704,21.999,15.464
JY2,2490.375,164.552,85.957,2.7,22.066,15.313
JY2,2490.5,164.439,85.914,2.696,22.066,14.106
JY2,2490.625,165.71,86.14,2.695,21.849,12.712
JY2,2490.75,167.473,86.629,2.696,21.441,12.048
JY2,2490.875,168.095,87.008,2.698,21.037,12.447
JY2,2491,167.447,86.885,2.697,20.7,13.886
JY2,2491.125,167.243,86.547,2.691,20.328,15.836
JY2,2491.25,168.705,86.437,2.683,19.943,17.146
JY2,2491.375,171.584,86.471,2.676,19.713,16.664
JY2,2491.5,174.401,86.638,2.671,19.738,14.346
JY2,2491.625,176.552,87.144,2.669,20.131,11.496
JY2,2491.75,178.37,87.57,2.668,20.99,9.472
JY2,2491.875,179.495,87.547,2.667,22.091,8.798
JY2,2492,178.469,87.294,2.663,22.912,9.314
JY2,2492.125,175.096,87.045,2.656,23.2,10.669
JY2,2492.25,172.211,87.038,2.652,23.137,12.227
JY2,2492.375,172.384,87.426,2.654,22.723,13.306
JY2,2492.5,174.151,87.853,2.66,21.924,13.515
JY2,2492.625,174.754,88.146,2.665,21.174,12.922
JY2,2492.75,173.823,88.314,2.666,20.969,11.647
JY2,2492.875,173.501,88.088,2.664,21.245,10.06
JY2,2493,174.654,87.433,2.661,21.617,8.833
JY2,2493.125,176.131,86.671,2.663,21.867,8.621
JY2,2493.25,176.55,85.955,2.669,22.052,9.708
JY2,2493.375,176.335,85.415,2.675,22.091,11.809
JY2,2493.5,177.73,85.08,2.676,21.898,14.111
JY2,2493.625,182.54,84.782,2.67,21.481,15.767
JY2,2493.75,189.289,84.666,2.662,20.804,16.744
JY2,2493.875,193.967,84.794,2.658,19.989,17.668
JY2,2494,194.658,84.754,2.66,19.421,18.824
JY2,2494.125,193.105,84.465,2.667,19.364,19.241
JY2,2494.25,192.299,84.226,2.673,19.555,17.65
JY2,2494.375,192.773,84.101,2.673,19.618,14.144
JY2,2494.5,193.552,84.172,2.665,19.508,10.211
JY2,2494.625,193.699,84.536,2.653,19.411,7.484
JY2,2494.75,192.787,84.952,2.642,19.364,6.177
JY2,2494.875,190.707,85.019,2.638,19.222,5.744
JY2,2495,187.206,84.75,2.64,18.877,5.764
JY2,2495.125,182.085,84.284,2.641,18.48,6.255
JY2,2495.25,175.591,83.407,2.636,18.307,7.503
JY2,2495.375,169.075,82.604,2.624,18.549,9.743
JY2,2495.5,164.774,83.604,2.607,19.134,12.254
JY2,2495.625,163.518,86.285,2.594,19.828,13.552
JY2,2495.75,163.459,88.002,2.594,20.654,13.068
JY2,2495.875,161.849,87.947,2.604,21.601,12.002
JY2,2496,158.148,86.984,2.615,22.133,12.751
JY2,2496.125,154.214,84.41,2.618,21.326,17.469
JY2,2496.25,151.802,80.708,2.618,19.246,26.327
JY2,2496.375,150.56,78.259,2.616,17.16,36.516
JY2,2496.5,148.415,77.814,2.612,15.866,44.461
JY2,2496.625,142.983,78.116,2.605,15.353,49.527
JY2,2496.75,133.234,77.46,2.603,15.237,54.624
JY2,2496.875,120.549,74.92,2.613,15.083,63.187
JY2,2497,108.453,71.101,2.636,14.521,76.799
JY2,2497.125,100.095,67.138,2.67,13.454,94.197
JY2,2497.25,96.446,64.124,2.705,12.189,110.384
JY2,2497.375,96.394,63.014,2.729,11.205,117.869
JY2,2497.5,99.797,64.426,2.731,10.813,112.273
JY2,2497.625,106.947,68.135,2.712,11.078,95.933
JY2,2497.75,116.84,72.884,2.683,11.886,76.457
JY2,2497.875,126.815,77.012,2.654,13.015,60.34
JY2,2498,134.138,79.845,2.635,14.137,49.429
