Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY11-4,2346.375,6,203.996,248.337,2.574,53.598,58.121
JY11-4,2346.5,6,203.621,256.037,2.543,24.716,26.686
JY11-4,2346.625,6,203.081,256.178,2.547,30.018,32.96
JY11-4,2346.75,6,201.408,256.412,2.547,39.541,43.559
JY11-4,2346.875,6,195.862,257.427,2.532,40.22,43.864
JY11-4,2347,6,193.378,257.677,2.533,38.913,42.416
JY11-4,2347.125,6,195.024,257.572,2.532,38.264,41.652
JY11-4,2347.25,6,172.133,249.371,2.538,50.098,53.696
JY11-4,2347.625,3,174.314,249.049,2.543,42.804,45.794
JY11-4,2347.75,3,175.692,247.99,2.544,39.105,42.145
JY11-4,2347.875,3,167.934,246.477,2.543,60.53,65.546
JY11-4,2348.5,3,171.757,245.444,2.531,60.197,64.608
JY11-4,2348.625,3,176.881,244.913,2.52,53.886,56.911
JY11-4,2348.75,3,197.305,245.833,2.505,13.949,15.203
JY11-4,2350.125,3,196.232,247.136,2.504,16.173,17.564
JY11-4,2350.25,3,196.303,249.751,2.507,18.933,20.668
JY11-4,2350.375,3,216.699,251.314,2.487,88.46,96.385
JY11-4,2351.125,3,218.656,252.587,2.491,80.486,87.231
JY11-4,2351.25,3,217.274,253.937,2.496,69.349,74.48
JY11-4,2351.375,3,337.253,264.497,2.477,25.895,28.792
JY11-4,2352.25,3,356.106,258.039,2.472,35.627,39.363
JY11-4,2352.375,3,343.032,246.535,2.488,43.925,48.038
JY11-4,2352.5,3,195.852,257.657,2.524,11.656,12.511
JY11-4,2353.25,3,190.887,255.75,2.511,13.055,14.354
JY11-4,2353.375,3,183.363,250.557,2.503,18.899,20.739
JY11-4,2353.5,3,180.706,244.078,2.519,28.232,30.898
JY11-4,2354.375,3,177.142,245.377,2.508,33.329,36.746
JY11-4,2354.5,3,181.327,246.697,2.499,40.489,44.516
JY11-4,2354.625,3,181.015,252.122,2.498,49.113,53.399
JY11-4,2355.625,3,174.749,249.314,2.498,50.362,54.643
JY11-4,2355.75,3,166.82,247.208,2.495,51.773,56.024
JY11-4,2355.875,3,120.891,258.705,2.56,15.749,15.442
JY11-4,2356.75,3,123.442,260.115,2.56,11.961,11.629
JY11-4,2356.875,3,130.404,263.127,2.555,8.598,8.435
JY11-4,2357,3,177.772,282.766,2.543,21.49,22.612
JY41-5,2494.5,4,165.888,238.551,2.742,36.016,35.941
JY41-5,2494.625,4,164.232,238.706,2.745,35.66,35.624
JY41-5,2496.625,3,164.439,238.303,2.723,37.91,35.192
JY41-5,2496.75,3,165.382,240.761,2.731,36.687,34.052
JY41-5,2496.875,3,165.65,242.55,2.738,35.682,33.146
JY41-5,2502.25,1,170.613,233.924,2.718,40.182,37.677
JY41-5,2502.375,1,166.583,232.456,2.712,41.119,38.387
JY41-5,2502.5,1,160.729,231.785,2.707,41.041,38.044
JY41-5,2502.625,1,158.16,232.531,2.704,39.762,36.614
