Well Name,Depth,GR,AC,DEN,CNL,LLS,K,Facies
JY37-3,3421.375,198.238,231.414,2.65,21.743,19.387,3.451,3
JY37-3,3421.5,200.711,232.677,2.649,21.027,19.276,3.501,3
JY37-3,3421.625,202.711,234.312,2.64,20.376,19.165,3.576,3
JY37-3,3421.75,203.778,235.888,2.629,20.141,18.988,3.668,3
JY37-3,3421.875,203.852,236.869,2.617,20.335,18.752,3.78,3
JY37-3,3422,203.194,236.851,2.606,20.556,18.665,3.882,3
JY37-3,3422.25,201.229,234.306,2.589,20.6,19.743,3.979,3
JY37-3,3422.375,200.751,232.838,2.586,21.192,20.694,3.974,3
JY37-3,3422.5,200.802,231.916,2.589,22.29,21.573,3.94,3
JY37-3,3423.5,198.99,241.266,2.61,22.993,34.25,3.715,3
JY37-3,3424.25,215.317,241.075,2.603,22.045,20.382,3.713,3
JY37-3,3424.375,217.675,239.426,2.596,22.287,41.433,3.586,3
JY37-3,3425.625,189.173,235.43,2.653,19.218,7.705,3.989,3
JY37-3,3425.75,181.679,233.53,2.63,18.64,9.172,3.817,3
JY37-3,3460.25,230.807,222.45,2.652,17.991,23.621,3.565,3
JY37-3,3460.375,224.249,221.846,2.664,18.016,24.067,3.518,3
JY37-3,3460.5,217.497,221.67,2.661,17.685,25.511,3.472,3
JY37-3,3547.75,151.353,221.326,2.567,17.242,29.334,3.154,6
JY37-3,3547.875,151.03,222.263,2.574,17.345,30.663,3.099,6
JY37-3,3553.5,145.978,200.353,2.709,15.118,33.738,2.594,6
JY37-3,3553.625,146.104,201.472,2.731,14.905,33.506,2.525,6
JY37-3,3553.75,146.272,202.95,2.739,14.728,33.594,2.468,6
JY37-4,2993.829,195.605,229.869,2.657,18.181,20.134,3.588,3
JY37-4,3024.079,195.928,230.913,2.648,21.403,19.491,4.48,3
JY37-4,3024.204,197.886,230.469,2.643,21.665,19.389,4.528,3
JY37-4,3024.329,196.927,230.803,2.649,21.908,19.326,4.58,3
JY37-4,3036.454,191.58,240.23,2.682,21.851,20.273,3.434,3
JY37-4,3036.579,189.856,240.105,2.682,21.794,19.654,3.442,3
